"flightNumber","period","month","day","airline","departureAirport","arrivalAirport","typeOfFlight","departureWeahter","arrivalWeather","arrivalStatus"
"3461","summer","August","Monday","TVF","TLV","LYS","short",,,"on time"
"3461","summer","August","Monday","TVF","TLV","LYS","short",,,"on time"
"690","summer","August","Monday","DLH","FRA","TLV","short","27.63","19.84","Delayed"
"690","summer","August","Monday","DLH","FRA","TLV","short","27.63","19.84","Delayed"
"1979","summer","August","Monday","FIN","HEL","TLV","short","23.36","27.63","on time"
"1979","summer","August","Monday","FIN","HEL","TLV","short","23.36","27.63","on time"
"790","summer","August","Monday","THY","IST","TLV","short","17.17","27.63","on time"
"790","summer","August","Monday","THY","IST","TLV","short","17.17","27.63","on time"
"1535","summer","August","Monday","CYF","CFU","TLV","short","26.59","27.63","severely Delayed"
"1535","summer","August","Monday","CYF","CFU","TLV","short","26.59","27.63","severely Delayed"
"6747","summer","August","Monday","RYR","TLV","CRL","short","24.88","27.63","severely Delayed"
"6747","summer","August","Monday","RYR","TLV","CRL","short","24.88","27.63","severely Delayed"
"5147","summer","August","Monday","ELY","TLV","SKG","short",,,"on time"
"5147","summer","August","Monday","ELY","TLV","SKG","short",,,"on time"
"3461","summer","August","Monday","TVF","TLV","LYS","short","27.63","24.81","on time"
"3461","summer","August","Monday","TVF","TLV","LYS","short","27.63","24.81","on time"
"690","summer","August","Monday","DLH","FRA","TLV","short","27.63","19.84","Delayed"
"690","summer","August","Monday","DLH","FRA","TLV","short","27.63","19.84","Delayed"
"TP1603","summer","September","Friday","TAP","LIS","TLV","Long Flight","21.17","27.87","Delayed"
"LH690","summer","September","Friday","DLH","FRA","TLV","Long Flight","21.44","27.87","on time"
"FZ1807","summer","September","Friday","FDB","DXB","TLV","Long Flight","35.09","27.87","on time"
"FZ1627","summer","September","Friday","FDB","DXB","TLV","Long Flight","35.09","27.87","on time"
"IB3316","summer","September","Friday","IBE","MAD","TLV","Long Flight","26.32","27.87","on time"
"FZ1627","summer","September","Friday","FDB","DXB","TLV","Long Flight","35.09","27.87","on time"
"LH690","summer","September","Friday","DLH","FRA","TLV","Long Flight","21.44","27.87","on time"
"AY1979","summer","September","Friday","FIN","HEL","TLV","Long Flight","8.57","27.87","on time"
"TP1603","summer","September","Friday","TAP","LIS","TLV","Long Flight","21.17","27.87","Delayed"
"TK790","summer","September","Friday","THY","IST","TLV","Long Flight","25.73","27.87","on time"
"U81535","summer","September","Friday","CYF","CFU","TLV","Long Flight","27.87","24.88","on time"
"FZ1807","summer","September","Friday","FDB","DXB","TLV","Long Flight","35.09","27.87","on time"
"5W7085","summer","September","Friday","WAZ","AUH","TLV","Long Flight","31.82","27.87","on time"
"UA954","summer","September","Friday","UAL","SFO","TLV","Long Flight","17.53","27.87","on time"
"IZ514","summer","September","Friday","AIZ","AMS","TLV","Long Flight","20.36","27.53","on time"
"LH690","summer","September","Friday","DLH","FRA","TLV","Long Flight","19.91","27.53","on time"
"OS859","summer","September","Friday","AUA","VIE","TLV","Long Flight","16.35","27.53","on time"
"AY1979","summer","September","Friday","FIN","HEL","TLV","Long Flight","7.07","27.53","on time"
"KL461","summer","September","Friday","KLM","AMS","TLV","Long Flight","20.36","27.53","on time"
"TP1603","summer","September","Friday","TAP","LIS","TLV","Long Flight","19.93","27.53","Delayed"
"TK790","summer","September","Friday","THY","IST","TLV","Long Flight","25.59","27.53","on time"
"U81535","summer","September","Friday","CYF","CFU","TLV","Long Flight","27.53","23.88","on time"
"RJ344","summer","September","Friday","RJA","AMM","TLV","Long Flight","30.05","27.53","on time"
"FZ1807","summer","September","Friday","FDB","DXB","TLV","Long Flight","32.54","27.53","on time"
"5W7085","summer","September","Friday","WAZ","AUH","TLV","Long Flight","31.65","27.53","on time"
"UA954","summer","September","Friday","UAL","SFO","TLV","Long Flight","19.34","27.53","on time"
"KL461","summer","September","Friday","KLM","AMS","TLV","Long Flight","19.93","27.76","on time"
"IZ514","summer","September","Friday","AIZ","AMS","TLV","Long Flight","19.93","27.76","on time"
"UA954","summer","September","Friday","UAL","SFO","TLV","Long Flight","19.50","27.76","on time"
"OS859","summer","September","Friday","AUA","VIE","TLV","Long Flight","16.03","27.76","on time"
"U81535","summer","September","Friday","CYF","CFU","TLV","Long Flight","27.76","23.88","on time"
"TP1603","summer","September","Friday","TAP","LIS","TLV","Long Flight","19.84","27.76","Delayed"
"IZ514","summer","September","Friday","AIZ","AMS","TLV","Long Flight","19.93","27.76","on time"
"OS859","summer","September","Friday","AUA","VIE","TLV","Long Flight","16.03","27.76","on time"
"KL461","summer","September","Friday","KLM","AMS","TLV","Long Flight","19.93","27.76","on time"
"TP1603","summer","September","Friday","TAP","LIS","TLV","Long Flight","19.84","27.76","Delayed"
"UA954","summer","September","Friday","UAL","SFO","TLV","Long Flight","19.50","27.76","on time"
"TP1603","summer","September","Friday","TAP","LIS","TLV","Long Flight","19.84","27.76","Delayed"
"KL461","summer","September","Friday","KLM","AMS","TLV","Long Flight","19.93","27.76","on time"
"IZ514","summer","September","Friday","AIZ","AMS","TLV","Long Flight","19.93","27.76","on time"
"UA954","summer","September","Friday","UAL","SFO","TLV","Long Flight","19.50","27.76","on time"
"OS859","summer","September","Friday","AUA","VIE","TLV","Long Flight","16.03","27.76","on time"
"IZ514","summer","September","Friday","AIZ","AMS","TLV","Long Flight","19.93","27.76","on time"
"OS859","summer","September","Friday","AUA","VIE","TLV","Long Flight","16.03","27.76","on time"
"KL461","summer","September","Friday","KLM","AMS","TLV","Long Flight","19.93","27.76","on time"
"TP1603","summer","September","Friday","TAP","LIS","TLV","Long Flight","19.84","27.76","Delayed"
"UA954","summer","September","Friday","UAL","SFO","TLV","Long Flight","19.50","27.76","on time"
"IZ514","summer","September","Friday","AIZ","AMS","TLV","Long Flight","19.93","27.76","on time"
"OS859","summer","September","Friday","AUA","VIE","TLV","Long Flight","16.03","27.76","on time"
"KL461","summer","September","Friday","KLM","AMS","TLV","Long Flight","19.93","27.76","on time"
"TP1603","summer","September","Friday","TAP","LIS","TLV","Long Flight","19.84","27.76","Delayed"
"UA954","summer","September","Friday","UAL","SFO","TLV","Long Flight","19.64","27.76","on time"
"IZ514","summer","September","Friday","AIZ","AMS","TLV","Long Flight","19.93","27.76","on time"
"OS859","summer","September","Friday","AUA","VIE","TLV","Long Flight","16.03","27.76","on time"
"KL461","summer","September","Friday","KLM","AMS","TLV","Long Flight","19.93","27.76","on time"
"TP1603","summer","September","Friday","TAP","LIS","TLV","Long Flight","19.84","27.76","Delayed"
"UA954","summer","September","Friday","UAL","SFO","TLV","Long Flight","19.64","27.76","on time"
"TK790","summer","September","Sunday","THY","IST","TLV","Long Flight","21.73","26.83","severely Delayed"
"UA84","summer","September","Sunday","UAL","EWR","TLV","Long Flight","26.83","28.80","on time"
"OS859","summer","September","Sunday","AUA","VIE","TLV","Long Flight","17.82","26.83","on time"
"KL461","summer","September","Sunday","KLM","AMS","TLV","Long Flight","18.87","26.83","Delayed"
"LY224","summer","September","Sunday","ELY","NCE","TLV","Long Flight","26.83","16.06","on time"
"UX1302","summer","September","Monday","AEA","TLV","MAD","Long Flight","26.83","29.56","on time"
"U27934","summer","September","Monday","EZY","TLV","AMS","Long Flight","29.77","29.56","on time"
"U25832","summer","September","Monday","EZY","TLV","BER","Long Flight","24.65","29.56","on time"
"OS858","summer","September","Monday","AUA","TLV","VIE","Long Flight","25.80","29.56","Delayed"
"LY553","summer","September","Monday","ELY","TLV","RAK","Long Flight","33.04","29.56","Delayed"
"IZ253","summer","September","Monday","AIZ","TLV","LIS","Long Flight","24.99","29.56","on time"
"CX676","summer","September","Monday","CPA","TLV","HKG","Long Flight","31.17","29.56","on time"
"A3459","summer","September","Monday","AEE","TLV","HER","Long Flight","29.56","24.95","severely Delayed"
"W61560","summer","September","Monday","WZZ","TLV","WAW","Long Flight","20.36","29.56","severely Delayed"
"W65456","summer","September","Monday","WZZ","TLV","VCE","Long Flight","29.56","28.73","severely Delayed"
"HV5802","summer","September","Monday","TRA","TLV","AMS","Long Flight","29.77","29.56","on time"
"U21526","summer","September","Monday","EZY","TLV","GVA","Long Flight","29.56","19.28","Delayed"
"TK795","summer","September","Monday","THY","TLV","IST","Long Flight","22.73","29.56","on time"
"FR5390","summer","September","Monday","RYR","TLV","FMM","Long Flight","29.56","24.82","Delayed"
"FR6473","summer","September","Monday","RYR","TLV","BER","Long Flight","24.65","29.56","Delayed"
"LY351","summer","September","Monday","ELY","TLV","MUC","Long Flight","27.24","29.56","on time"
"LY339","summer","September","Monday","ELY","TLV","AMS","Long Flight","29.77","29.56","on time"
"LY25","summer","September","Monday","ELY","TLV","EWR","Long Flight","29.56","24.37","on time"
"EY599","summer","September","Monday","ETD","TLV","AUH","Long Flight","38.00","29.56","Delayed"
"FZ1210","summer","September","Monday","FDB","TLV","DXB","Long Flight","36.77","29.56","on time"
"UA85","summer","September","Monday","UAL","TLV","EWR","Long Flight","29.56","24.37","on time"
"DL243","summer","September","Monday","DAL","TLV","BOS","Long Flight","20.44","29.56","on time"
"UA85","summer","September","Monday","UAL","TLV","EWR","Long Flight","29.56","24.37","on time"
"UX1302","summer","September","Monday","AEA","TLV","MAD","Long Flight","26.83","29.56","on time"
"U27934","summer","September","Monday","EZY","TLV","AMS","Long Flight","29.73","29.56","on time"
"U25832","summer","September","Monday","EZY","TLV","BER","Long Flight","24.65","29.56","on time"
"OS858","summer","September","Monday","AUA","TLV","VIE","Long Flight","25.76","29.56","Delayed"
"LY553","summer","September","Monday","ELY","TLV","RAK","Long Flight","33.04","29.56","Delayed"
"IZ253","summer","September","Monday","AIZ","TLV","LIS","Long Flight","24.99","29.56","on time"
"CX676","summer","September","Monday","CPA","TLV","HKG","Long Flight","31.17","29.56","on time"
"A3459","summer","September","Monday","AEE","TLV","HER","Long Flight","29.56","24.95","severely Delayed"
"HV5802","summer","September","Monday","TRA","TLV","AMS","Long Flight","29.73","29.56","on time"
"IZ513","summer","September","Monday","AIZ","TLV","AMS","Long Flight","29.73","29.56","on time"
"U21526","summer","September","Monday","EZY","TLV","GVA","Long Flight","29.56","19.28","Delayed"
"TK795","summer","September","Monday","THY","TLV","IST","Long Flight","22.73","29.56","on time"
"FR5390","summer","September","Monday","RYR","TLV","FMM","Long Flight","29.56","24.82","Delayed"
"FR6473","summer","September","Monday","RYR","TLV","BER","Long Flight","24.65","29.56","Delayed"
"LY351","summer","September","Monday","ELY","TLV","MUC","Long Flight","27.21","29.56","on time"
"LY339","summer","September","Monday","ELY","TLV","AMS","Long Flight","29.73","29.56","on time"
"LY25","summer","September","Monday","ELY","TLV","EWR","Long Flight","29.56","24.37","on time"
"FZ1210","summer","September","Monday","FDB","TLV","DXB","Long Flight","36.77","29.56","on time"
"EY599","summer","September","Monday","ETD","TLV","AUH","Long Flight","38.00","29.56","Delayed"
"UA85","summer","September","Monday","UAL","TLV","EWR","Long Flight","29.56","24.37","on time"
"DL243","summer","September","Monday","DAL","TLV","BOS","Long Flight","20.44","29.56","on time"
"LY396","summer","September","Monday","ELY","MAD","TLV","Long Flight","26.83","29.56","on time"
"LY5194","summer","September","Monday","ELY","SSH","TLV","Long Flight","29.56","35.07","on time"
"LY348","summer","September","Monday","ELY","ZRH","TLV","Long Flight","29.56","27.36","on time"
"LY338","summer","September","Monday","ELY","AMS","TLV","Long Flight","29.73","29.56","on time"
"TO3460","summer","September","Monday","TVF","LYS","TLV","Long Flight","28.92","29.56","on time"
"U21827","summer","September","Monday","EZY","MAN","TLV","Long Flight","29.56","23.55","on time"
"OS861","summer","September","Monday","AUA","VIE","TLV","Long Flight","25.76","29.56","Delayed"
"W67504","summer","September","Monday","WZZ","HER","TLV","Long Flight","29.56","24.95","Delayed"
"LO155","summer","September","Monday","LOT","WAW","TLV","Long Flight","20.36","29.56","on time"
"LX252","summer","September","Monday","SWR","ZRH","TLV","Long Flight","29.56","27.36","Delayed"
"FR2836","summer","September","Monday","RYR","VNO","TLV","Long Flight","14.28","29.56","on time"
"U81323","summer","September","Monday","CYF","DUS","TLV","Long Flight","30.32","29.56","Delayed"
"UA954","summer","September","Monday","UAL","SFO","TLV","Long Flight","18.67","29.56","on time"
"EK931","summer","September","Monday","UAE","DXB","TLV","Long Flight","36.77","29.56","on time"
"UX1302","summer","September","Monday","AEA","TLV","MAD","Long Flight","26.89","29.56","on time"
"U27934","summer","September","Monday","EZY","TLV","AMS","Long Flight","29.73","29.56","on time"
"U25832","summer","September","Monday","EZY","TLV","BER","Long Flight","24.73","29.56","on time"
"OS858","summer","September","Monday","AUA","TLV","VIE","Long Flight","25.76","29.56","Delayed"
"LY553","summer","September","Monday","ELY","TLV","RAK","Long Flight","33.04","29.56","Delayed"
"IZ253","summer","September","Monday","AIZ","TLV","LIS","Long Flight","24.95","29.56","on time"
"CX676","summer","September","Monday","CPA","TLV","HKG","Long Flight","31.17","29.56","on time"
"A3459","summer","September","Monday","AEE","TLV","HER","Long Flight","29.56","24.95","severely Delayed"
"HV5802","summer","September","Monday","TRA","TLV","AMS","Long Flight","29.73","29.56","on time"
"IZ513","summer","September","Monday","AIZ","TLV","AMS","Long Flight","29.73","29.56","on time"
"U21526","summer","September","Monday","EZY","TLV","GVA","Long Flight","29.56","19.28","Delayed"
"UX1302","summer","September","Monday","AEA","TLV","MAD","Long Flight","26.89","30.10","on time"
"U27934","summer","September","Monday","EZY","TLV","AMS","Long Flight","29.73","30.10","on time"
"U25832","summer","September","Monday","EZY","TLV","BER","Long Flight","24.73","30.10","on time"
"OS858","summer","September","Monday","AUA","TLV","VIE","Long Flight","25.76","30.10","Delayed"
"LY553","summer","September","Monday","ELY","TLV","RAK","Long Flight","33.04","30.10","Delayed"
"LY343","summer","September","Monday","ELY","TLV","ZRH","Long Flight","30.10","27.36","on time"
"IZ253","summer","September","Monday","AIZ","TLV","LIS","Long Flight","24.95","30.10","on time"
"CX676","summer","September","Monday","CPA","TLV","HKG","Long Flight","30.95","30.10","on time"
"A3459","summer","September","Monday","AEE","TLV","HER","Long Flight","30.10","24.95","severely Delayed"
"HV5802","summer","September","Monday","TRA","TLV","AMS","Long Flight","29.46","30.10","on time"
"IZ513","summer","September","Monday","AIZ","TLV","AMS","Long Flight","29.46","30.10","on time"
"U21526","summer","September","Monday","EZY","TLV","GVA","Long Flight","30.10","19.28","Delayed"
"TK795","summer","September","Monday","THY","TLV","IST","Long Flight","22.73","30.10","on time"
"FR5390","summer","September","Monday","RYR","TLV","FMM","Long Flight","30.10","24.44","Delayed"
"LY553","summer","September","Monday","ELY","TLV","RAK","Long Flight","32.04","26.95","on time"
"LY2523","summer","September","Monday","ELY","TLV","PRG","Long Flight","20.09","26.95","on time"
"LY391","summer","September","Monday","ELY","TLV","BCN","Long Flight","26.93","26.95","on time"
"LY375","summer","September","Monday","ELY","TLV","LIS","Long Flight","21.96","26.95","on time"
"LY2367","summer","September","Monday","ELY","TLV","BUD","Long Flight","19.29","26.95","on time"
"LY2373","summer","September","Monday","ELY","TLV","BER","Long Flight","20.03","26.95","on time"
"IZ253","summer","September","Monday","AIZ","TLV","LIS","Long Flight","21.96","26.95","on time"
"TO3461","summer","September","Monday","TVF","TLV","LYS","Long Flight","19.61","26.95","Delayed"
"LH681","summer","September","Monday","DLH","TLV","MUC","Long Flight","19.18","26.95","Delayed"
"LH687","summer","September","Monday","DLH","TLV","FRA","Long Flight","22.99","26.95","Delayed"
"OS862","summer","September","Monday","AUA","TLV","VIE","Long Flight","22.04","26.95","Delayed"
"SN3290","summer","September","Monday","BEL","TLV","BRU","Long Flight","20.21","26.95","Delayed"
"A3925","summer","September","Monday","AEE","TLV","ATH","Long Flight","23.26","26.95","on time"
"LO160","summer","September","Monday","LOT","TLV","KRK","Long Flight","16.68","26.95","on time"
"FR6769","summer","September","Monday","RYR","TLV","BUD","Long Flight","19.29","26.95","on time"
"FR2837","summer","September","Monday","RYR","TLV","VNO","Long Flight","10.49","26.95","on time"
"LY5147","summer","September","Monday","ELY","TLV","SKG","Long Flight","26.95","23.00","on time"
"IZ513","summer","September","Monday","AIZ","TLV","AMS","Long Flight","23.63","26.95","Delayed"
"LX253","summer","September","Monday","SWR","TLV","ZRH","Long Flight","26.95","21.43","on time"
"TK837","summer","September","Monday","THY","TLV","IST","Long Flight","19.45","26.95","on time"
"FR5526","summer","September","Monday","RYR","TLV","SKG","Long Flight","26.95","23.00","on time"
"FR7896","summer","September","Monday","RYR","TLV","VIE","Long Flight","22.04","26.95","Delayed"
"LY561","summer","September","Monday","ELY","TLV","WAW","Long Flight","15.31","26.95","Delayed"
"LY321","summer","September","Monday","ELY","TLV","MRS","Long Flight","25.03","26.95","Delayed"
"EK932","summer","September","Monday","UAE","TLV","DXB","Long Flight","33.32","26.95","on time"
"IB3316","summer","September","Monday","IBE","MAD","TLV","Long Flight","25.87","26.95","on time"
"TP1603","summer","September","Monday","TAP","LIS","TLV","Long Flight","21.96","26.95","on time"
"LY82","summer","September","Monday","ELY","BKK","TLV","Long Flight","27.00","26.95","on time"
"FZ1807","summer","September","Monday","FDB","DXB","TLV","Long Flight","33.32","26.95","on time"
"FZ1627","summer","September","Monday","FDB","DXB","TLV","Long Flight","33.32","26.95","on time"
"LH690","summer","September","Monday","DLH","FRA","TLV","Long Flight","22.99","26.95","Delayed"
"LH684","summer","September","Monday","DLH","MUC","TLV","Long Flight","19.18","26.95","Delayed"
"AY1979","summer","September","Monday","FIN","HEL","TLV","Long Flight","8.64","26.95","on time"
"W61283","summer","September","Monday","WZZ","KTW","TLV","Long Flight","26.95","16.36","on time"
"FR7413","summer","September","Monday","RYR","CHQ","TLV","Long Flight","26.95","24.78","on time"
"LY352","summer","September","Monday","ELY","MUC","TLV","Long Flight","19.18","26.95","on time"
"LY6","summer","September","Monday","ELY","LAX","TLV","Long Flight","34.32","26.95","on time"
"LY28","summer","September","Monday","ELY","EWR","TLV","Long Flight","26.95","29.30","on time"
"LY2367","summer","September","Monday","ELY","TLV","BUD","Long Flight","19.69","26.85","on time"
"LY553","summer","September","Monday","ELY","TLV","RAK","Long Flight","32.04","26.85","on time"
"LY375","summer","September","Monday","ELY","TLV","LIS","Long Flight","21.11","26.85","on time"
"LY391","summer","September","Monday","ELY","TLV","BCN","Long Flight","26.99","26.85","on time"
"LY2373","summer","September","Monday","ELY","TLV","BER","Long Flight","19.88","26.85","on time"
"IZ253","summer","September","Monday","AIZ","TLV","LIS","Long Flight","21.11","26.85","on time"
"TO3461","summer","September","Monday","TVF","TLV","LYS","Long Flight","19.61","26.85","Delayed"
"LH687","summer","September","Monday","DLH","TLV","FRA","Long Flight","22.59","26.85","Delayed"
"OS862","summer","September","Monday","AUA","TLV","VIE","Long Flight","21.72","26.85","Delayed"
"A3925","summer","September","Monday","AEE","TLV","ATH","Long Flight","23.26","26.85","severely Delayed"
"LO160","summer","September","Monday","LOT","TLV","KRK","Long Flight","16.60","26.85","on time"
"FR6769","summer","September","Monday","RYR","TLV","BUD","Long Flight","19.69","26.85","on time"
"FR2837","summer","September","Monday","RYR","TLV","VNO","Long Flight","10.49","26.85","on time"
"IZ513","summer","September","Monday","AIZ","TLV","AMS","Long Flight","23.45","26.85","Delayed"
"LY5147","summer","September","Monday","ELY","TLV","SKG","Long Flight","26.85","22.79","Delayed"
"LX253","summer","September","Monday","SWR","TLV","ZRH","Long Flight","26.85","21.02","on time"
"TK837","summer","September","Monday","THY","TLV","IST","Long Flight","19.45","26.85","on time"
"FR5526","summer","September","Monday","RYR","TLV","SKG","Long Flight","26.85","22.79","on time"
"LY561","summer","September","Monday","ELY","TLV","WAW","Long Flight","15.19","26.85","Delayed"
"LY321","summer","September","Monday","ELY","TLV","MRS","Long Flight","24.85","26.85","Delayed"
"EK932","summer","September","Monday","UAE","TLV","DXB","Long Flight","32.20","26.85","on time"
"IB3316","summer","September","Monday","IBE","MAD","TLV","Long Flight","25.74","26.85","on time"
"TP1603","summer","September","Monday","TAP","LIS","TLV","Long Flight","21.11","26.85","on time"
"LY82","summer","September","Monday","ELY","BKK","TLV","Long Flight","27.00","26.85","on time"
"FZ1807","summer","September","Monday","FDB","DXB","TLV","Long Flight","32.20","26.85","on time"
"FZ1627","summer","September","Monday","FDB","DXB","TLV","Long Flight","32.20","26.85","on time"
"LH684","summer","September","Monday","DLH","MUC","TLV","Long Flight","19.05","26.85","Delayed"
"AY1979","summer","September","Monday","FIN","HEL","TLV","Long Flight","8.78","26.85","on time"
"LH690","summer","September","Monday","DLH","FRA","TLV","Long Flight","22.59","26.85","Delayed"
"OS859","summer","September","Monday","AUA","VIE","TLV","Long Flight","21.72","26.85","Delayed"
"TK790","summer","September","Monday","THY","IST","TLV","Long Flight","19.45","26.85","on time"
"FR7413","summer","September","Monday","RYR","CHQ","TLV","Long Flight","26.85","23.78","on time"
"LY352","summer","September","Monday","ELY","MUC","TLV","Long Flight","19.05","26.85","Delayed"
"LY6","summer","September","Monday","ELY","LAX","TLV","Long Flight","34.72","26.85","on time"
"LY28","summer","September","Monday","ELY","EWR","TLV","Long Flight","26.85","29.18","Delayed"
"LY543","summer","September","Wednesday","ELY","TLV","ATH","Long Flight","26.77","30.72","Delayed"
"W61560","summer","September","Wednesday","WZZ","TLV","WAW","Long Flight","18.57","30.72","severely Delayed"
"LO156","summer","September","Wednesday","LOT","TLV","WAW","Long Flight","18.57","30.72","Delayed"
"W62326","summer","September","Wednesday","WZZ","TLV","BUD","Long Flight","27.16","30.72","Delayed"
"FZ1550","summer","September","Wednesday","FDB","TLV","DXB","Long Flight","40.00","30.72","on time"
"LY25","summer","September","Wednesday","ELY","TLV","EWR","Long Flight","30.72","18.83","on time"
"W65456","summer","September","Wednesday","WZZ","TLV","VCE","Long Flight","30.72","24.87","Delayed"
"TK7669","summer","September","Wednesday","THY","TLV","AYT","Long Flight","31.72","30.72","Delayed"
"IZ161","summer","September","Wednesday","AIZ","TLV","LCA","Long Flight","30.72","31.94","severely Delayed"
"LH695","summer","September","Wednesday","DLH","TLV","FRA","Long Flight","24.40","30.72","Delayed"
"FR2826","summer","September","Wednesday","RYR","TLV","SOF","Long Flight","21.83","30.72","Delayed"
"FR4104","summer","September","Wednesday","RYR","TLV","PFO","Long Flight","30.72","29.88","Delayed"
"PC798","summer","September","Wednesday","PGT","TLV","DLM","Long Flight","30.72","31.92","on time"
"FR5901","summer","September","Wednesday","RYR","TLV","TRN","Long Flight","21.86","30.72","on time"
"LY5","summer","September","Wednesday","ELY","TLV","LAX","Long Flight","23.99","30.72","on time"
"LY17","summer","September","Wednesday","ELY","TLV","MIA","Long Flight","26.55","30.72","on time"
"UA85","summer","September","Wednesday","UAL","TLV","EWR","Long Flight","30.72","18.83","on time"
"UA955","summer","September","Wednesday","UAL","TLV","SFO","Long Flight","18.66","30.72","on time"
"OS857","summer","September","Wednesday","AUA","VIE","TLV","Long Flight","24.15","30.72","on time"
"U27933","summer","September","Wednesday","EZY","AMS","TLV","Long Flight","21.23","30.72","on time"
"LY394","summer","September","Wednesday","ELY","BCN","TLV","Long Flight","27.82","30.72","on time"
"LY2372","summer","September","Wednesday","ELY","BER","TLV","Long Flight","23.11","30.72","on time"
"LY2366","summer","September","Wednesday","ELY","BUD","TLV","Long Flight","27.16","30.72","on time"
"LY26","summer","September","Wednesday","ELY","EWR","TLV","Long Flight","30.72","18.83","on time"
"LH686","summer","September","Wednesday","DLH","FRA","TLV","Long Flight","24.40","30.72","on time"
"LH680","summer","September","Wednesday","DLH","MUC","TLV","Long Flight","24.34","30.72","Delayed"
"SN3289","summer","September","Wednesday","BEL","BRU","TLV","Long Flight","22.04","30.72","on time"
"W64547","summer","September","Wednesday","WZZ","VAR","TLV","Long Flight","30.72","24.02","on time"
"TK794","summer","September","Wednesday","THY","IST","TLV","Long Flight","24.73","30.72","on time"
"BZ753","summer","September","Wednesday","BBG","HER","TLV","Long Flight","30.72","23.29","on time"
"LY396","summer","September","Wednesday","ELY","MAD","TLV","Long Flight","21.51","30.72","on time"
"UA90","summer","September","Wednesday","UAL","EWR","TLV","Long Flight","30.72","18.83","on time"
"LY543","summer","September","Wednesday","ELY","TLV","ATH","Long Flight","26.77","30.72","Delayed"
"LY25","summer","September","Wednesday","ELY","TLV","EWR","Long Flight","30.72","18.83","on time"
"FZ1550","summer","September","Wednesday","FDB","TLV","DXB","Long Flight","40.00","30.72","on time"
"LH695","summer","September","Wednesday","DLH","TLV","FRA","Long Flight","24.40","30.72","Delayed"
"W62326","summer","September","Wednesday","WZZ","TLV","BUD","Long Flight","26.64","30.72","Delayed"
"W65456","summer","September","Wednesday","WZZ","TLV","VCE","Long Flight","30.72","24.87","Delayed"
"W61560","summer","September","Wednesday","WZZ","TLV","WAW","Long Flight","19.35","30.72","severely Delayed"
"LO156","summer","September","Wednesday","LOT","TLV","WAW","Long Flight","19.35","30.72","Delayed"
"FR2826","summer","September","Wednesday","RYR","TLV","SOF","Long Flight","21.83","30.72","Delayed"
"IZ161","summer","September","Wednesday","AIZ","TLV","LCA","Long Flight","30.72","31.94","severely Delayed"
"TK7669","summer","September","Wednesday","THY","TLV","AYT","Long Flight","31.72","30.72","Delayed"
"PC798","summer","September","Wednesday","PGT","TLV","DLM","Long Flight","30.72","31.92","on time"
"FR4104","summer","September","Wednesday","RYR","TLV","PFO","Long Flight","30.72","29.88","Delayed"
"FR5901","summer","September","Wednesday","RYR","TLV","TRN","Long Flight","21.86","30.72","on time"
"LY5","summer","September","Wednesday","ELY","TLV","LAX","Long Flight","23.99","30.72","on time"
"LY17","summer","September","Wednesday","ELY","TLV","MIA","Long Flight","26.55","30.72","on time"
"UA85","summer","September","Wednesday","UAL","TLV","EWR","Long Flight","30.72","18.83","on time"
"UA955","summer","September","Wednesday","UAL","TLV","SFO","Long Flight","18.66","30.72","on time"
"OS857","summer","September","Wednesday","AUA","VIE","TLV","Long Flight","24.12","30.72","on time"
"LY394","summer","September","Wednesday","ELY","BCN","TLV","Long Flight","27.82","30.72","on time"
"LY2372","summer","September","Wednesday","ELY","BER","TLV","Long Flight","23.16","30.72","on time"
"LY2366","summer","September","Wednesday","ELY","BUD","TLV","Long Flight","26.64","30.72","on time"
"LY26","summer","September","Wednesday","ELY","EWR","TLV","Long Flight","30.72","18.83","on time"
"LH686","summer","September","Wednesday","DLH","FRA","TLV","Long Flight","24.40","30.72","on time"
"LH680","summer","September","Wednesday","DLH","MUC","TLV","Long Flight","24.34","30.72","Delayed"
"SN3289","summer","September","Wednesday","BEL","BRU","TLV","Long Flight","22.04","30.72","on time"
"W64547","summer","September","Wednesday","WZZ","VAR","TLV","Long Flight","30.72","24.02","on time"
"LX252","summer","September","Wednesday","SWR","ZRH","TLV","Long Flight","30.72","23.47","Delayed"
"TK794","summer","September","Wednesday","THY","IST","TLV","Long Flight","24.73","30.72","on time"
"BZ753","summer","September","Wednesday","BBG","HER","TLV","Long Flight","30.72","23.29","on time"
"LY396","summer","September","Wednesday","ELY","MAD","TLV","Long Flight","21.51","30.72","on time"
"UA90","summer","September","Wednesday","UAL","EWR","TLV","Long Flight","30.72","18.83","on time"
"LY543","summer","September","Wednesday","ELY","TLV","ATH","Long Flight","26.77","30.72","Delayed"
"LY25","summer","September","Wednesday","ELY","TLV","EWR","Long Flight","30.72","18.83","on time"
"FZ1550","summer","September","Wednesday","FDB","TLV","DXB","Long Flight","40.00","30.72","on time"
"LH695","summer","September","Wednesday","DLH","TLV","FRA","Long Flight","24.40","30.72","Delayed"
"W62326","summer","September","Wednesday","WZZ","TLV","BUD","Long Flight","26.64","30.72","Delayed"
"W65456","summer","September","Wednesday","WZZ","TLV","VCE","Long Flight","30.72","24.87","Delayed"
"W61560","summer","September","Wednesday","WZZ","TLV","WAW","Long Flight","19.35","30.72","severely Delayed"
